step,source_target_hit,positive_target_hit,independent_target_hit,family_independent_gap,hardlabel_auc,n_source_rows,n_positive_models,n_independent_models,mean_scm,median_scm,n_scm_rows
0,0.0,0.03125,0.1111111111111111,-0.0798611111111111,0.2986111111111111,20,8,9,-7.489675406193454,-6.685271073943193,20
1,0.15,0.15,0.1,0.04999999999999999,0.7083333333333334,20,8,9,-3.957093307723288,-3.250965029469274,20
2,0.35,0.25625,0.1111111111111111,0.14513888888888887,0.8472222222222222,20,8,9,-2.3643267012775455,-1.2553868224578206,20
3,0.55,0.3625,0.11666666666666667,0.24583333333333332,0.9097222222222222,20,8,9,-1.2452132663730127,0.3291420253213766,20
4,0.55,0.41875,0.11666666666666667,0.30208333333333337,0.9583333333333334,20,8,9,-0.55118836904316,0.6195450387606225,20
5,0.55,0.43125,0.09444444444444444,0.3368055555555556,0.9930555555555556,20,8,9,-0.08256127220552205,0.9886856069777423,20
6,0.65,0.475,0.12222222222222222,0.35277777777777775,0.9861111111111112,20,8,9,0.31012750417973967,1.110450654264126,20
7,0.6,0.4875,0.10555555555555556,0.3819444444444444,1.0,20,8,9,0.5408617789733414,1.1077875972339455,20
8,0.6,0.525,0.11666666666666667,0.4083333333333333,0.9930555555555556,20,8,9,0.9011131050072958,1.2939548984142246,20
9,0.75,0.55625,0.10555555555555556,0.45069444444444445,0.9930555555555556,20,8,9,1.1848068459441008,1.6528480960238285,20
10,0.75,0.575,0.10555555555555556,0.4694444444444444,1.0,20,8,9,1.4919121648322602,2.1701738090314535,20
11,0.75,0.5875,0.12777777777777777,0.45972222222222225,1.0,20,8,9,1.8783471837516028,2.385322821753974,20
12,0.75,0.5875,0.1111111111111111,0.4763888888888889,1.0,20,8,9,2.232484125985558,2.991139975931814,20
13,0.75,0.61875,0.1,0.51875,1.0,20,8,9,2.5212701158885085,3.346395295278577,20
14,0.75,0.65,0.1111111111111111,0.538888888888889,1.0,20,8,9,2.8223114473849282,3.418227010495823,20
15,0.8,0.65,0.10555555555555556,0.5444444444444445,0.9930555555555556,20,8,9,2.9251405495300657,3.5631471289790246,20
16,0.85,0.68125,0.12222222222222222,0.5590277777777778,0.9861111111111112,20,8,9,3.2046090614874445,3.882600606679036,20
17,0.85,0.68125,0.11666666666666667,0.5645833333333333,0.9861111111111112,20,8,9,3.1745435740004995,3.803491020421939,20
18,0.85,0.7,0.11666666666666667,0.5833333333333333,0.9861111111111112,20,8,9,3.3611243643604922,3.9416282598138044,20
19,0.95,0.725,0.11666666666666667,0.6083333333333333,0.9930555555555556,20,8,9,3.467940900262829,3.9416282598138044,20
20,0.95,0.7375,0.1111111111111111,0.6263888888888889,1.0,20,8,9,3.655328562840753,3.9416282598138044,20
21,0.95,0.7625,0.12222222222222222,0.6402777777777777,1.0,20,8,9,3.8177886139581148,3.9416282598138044,20
22,0.95,0.75,0.13333333333333333,0.6166666666666667,0.9930555555555556,20,8,9,3.8878056150907687,3.9416282598138044,20
23,0.95,0.75,0.13333333333333333,0.6166666666666667,1.0,20,8,9,4.078009041016565,3.9416282598138044,20
24,0.95,0.75625,0.11666666666666667,0.6395833333333333,1.0,20,8,9,4.247629089461702,3.9416282598138044,20
25,0.95,0.775,0.12222222222222222,0.6527777777777778,0.9930555555555556,20,8,9,4.426424200408645,3.995489333029363,20
26,0.95,0.78125,0.11666666666666667,0.6645833333333333,1.0,20,8,9,4.529227804084976,4.108839304749797,20
27,1.0,0.81875,0.12777777777777777,0.6909722222222222,1.0,20,8,9,4.657698662929668,4.108839304749797,20
28,1.0,0.80625,0.1111111111111111,0.695138888888889,0.9791666666666666,20,8,9,4.9111174176838865,4.432926246064199,20
29,1.0,0.83125,0.12777777777777777,0.7034722222222223,1.0,20,8,9,4.9896660211634805,4.44939479363517,20
30,1.0,0.8125,0.12777777777777777,0.6847222222222222,0.9791666666666666,20,8,9,5.045217247517886,4.720212351944653,20
31,1.0,0.84375,0.12777777777777777,0.7159722222222222,0.9930555555555556,20,8,9,5.201002490370267,4.659548925637591,20
32,1.0,0.825,0.13333333333333333,0.6916666666666667,0.9930555555555556,20,8,9,5.218659083446504,4.7209220835781585,20
33,1.0,0.8375,0.11666666666666667,0.7208333333333333,0.9861111111111112,20,8,9,5.253158547726036,4.828637626763479,20
34,1.0,0.81875,0.13333333333333333,0.6854166666666667,0.9791666666666666,20,8,9,5.324647858820482,4.784799387627392,20
35,1.0,0.83125,0.12777777777777777,0.7034722222222223,0.9861111111111112,20,8,9,5.419788702105626,4.8673470204175455,20
36,1.0,0.85625,0.13333333333333333,0.7229166666666667,0.9930555555555556,20,8,9,5.441142493748109,4.912315758901351,20
37,1.0,0.8375,0.12222222222222222,0.7152777777777778,0.9861111111111112,20,8,9,5.482796961735417,4.8673470204175455,20
38,1.0,0.8625,0.12777777777777777,0.7347222222222223,0.9930555555555556,20,8,9,5.60373567852455,4.933088858584968,20
39,1.0,0.85625,0.1111111111111111,0.7451388888888888,1.0,20,8,9,5.614235354118616,5.057525481960228,20
40,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,5.615856687134662,4.955136163390847,20
41,1.0,0.8375,0.11666666666666667,0.7208333333333333,1.0,20,8,9,5.679522796761878,5.244598024961441,20
42,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,5.762040670422927,5.287052007752316,20
43,1.0,0.85,0.12777777777777777,0.7222222222222222,0.9930555555555556,20,8,9,5.7455203096313445,5.222400822150631,20
44,1.0,0.85625,0.12222222222222222,0.7340277777777777,1.0,20,8,9,5.72903028007374,5.190059159937562,20
45,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,5.747109465263914,5.1237712808137434,20
46,1.0,0.85625,0.1111111111111111,0.7451388888888888,1.0,20,8,9,5.798545928697778,5.363866021694983,20
47,1.0,0.83125,0.12222222222222222,0.7090277777777778,1.0,20,8,9,5.744710459638738,5.100344700493624,20
48,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,5.773845648363769,5.239209262913905,20
49,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,5.834250605073846,5.469689769066486,20
50,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,5.80990077706555,5.280295210707983,20
51,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,5.834958299978814,5.317238202476871,20
52,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,5.889374303284612,5.495923586684118,20
53,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,5.869903155917987,5.495923586684118,20
54,1.0,0.8375,0.1111111111111111,0.726388888888889,1.0,20,8,9,5.900473982672787,5.465620702777844,20
55,1.0,0.83125,0.10555555555555556,0.7256944444444445,1.0,20,8,9,5.925740637348345,5.495923586684118,20
56,1.0,0.84375,0.09444444444444444,0.7493055555555556,1.0,20,8,9,5.954887206577636,5.495923586684118,20
57,1.0,0.84375,0.10555555555555556,0.7381944444444445,1.0,20,8,9,5.941913404882196,5.536002536427505,20
58,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,5.9255987988848595,5.535643943205873,20
59,1.0,0.85,0.10555555555555556,0.7444444444444445,1.0,20,8,9,5.966507805696493,5.56371903953776,20
60,1.0,0.8625,0.1111111111111111,0.7513888888888889,1.0,20,8,9,5.961571757483067,5.580267171465117,20
61,1.0,0.85625,0.11666666666666667,0.7395833333333333,1.0,20,8,9,5.936601611907154,5.665486573299616,20
62,1.0,0.8375,0.12222222222222222,0.7152777777777778,1.0,20,8,9,5.920842000614104,5.5995284765380084,20
63,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,5.997617904044469,5.696681767480197,20
64,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.012800045790551,5.6390299448689305,20
65,1.0,0.85,0.1111111111111111,0.7388888888888889,1.0,20,8,9,6.023745928121477,5.716696196115903,20
66,1.0,0.84375,0.1111111111111111,0.7326388888888888,1.0,20,8,9,6.018739941561221,5.783458182650419,20
67,1.0,0.84375,0.1388888888888889,0.7048611111111112,1.0,20,8,9,6.069584896601766,5.7164343447678,20
68,1.0,0.85,0.14444444444444443,0.7055555555555555,1.0,20,8,9,6.058806470654576,5.702032731536768,20
69,1.0,0.8625,0.12222222222222222,0.7402777777777778,1.0,20,8,9,6.091274716202195,5.613492862448972,20
70,1.0,0.825,0.13333333333333333,0.6916666666666667,1.0,20,8,9,6.120099695717774,5.723146313745604,20
71,1.0,0.825,0.12777777777777777,0.6972222222222222,1.0,20,8,9,6.151238888968708,5.78094388476027,20
72,1.0,0.85625,0.13333333333333333,0.7229166666666667,1.0,20,8,9,6.192864299701649,5.782557194658489,20
73,1.0,0.8625,0.1388888888888889,0.7236111111111112,1.0,20,8,9,6.235388632695932,5.796746280831876,20
74,1.0,0.85625,0.13333333333333333,0.7229166666666667,1.0,20,8,9,6.260475924990565,5.84358121386186,20
75,1.0,0.8375,0.13333333333333333,0.7041666666666667,1.0,20,8,9,6.269082919897999,5.836533613886578,20
76,1.0,0.85,0.13333333333333333,0.7166666666666667,1.0,20,8,9,6.307046532950293,5.8044106618737334,20
77,1.0,0.84375,0.12777777777777777,0.7159722222222222,1.0,20,8,9,6.345355192402336,5.748067657452416,20
78,1.0,0.83125,0.12777777777777777,0.7034722222222223,1.0,20,8,9,6.406955722199902,5.900522988832554,20
79,1.0,0.8375,0.13333333333333333,0.7041666666666667,1.0,20,8,9,6.3842022603835575,5.8144112859658765,20
80,1.0,0.8375,0.12777777777777777,0.7097222222222223,1.0,20,8,9,6.353869036432906,5.784931544001248,20
81,1.0,0.84375,0.13333333333333333,0.7104166666666667,1.0,20,8,9,6.394086137887234,5.785957469353652,20
82,1.0,0.84375,0.12777777777777777,0.7159722222222222,1.0,20,8,9,6.391220953510446,5.711175321654557,20
83,1.0,0.8375,0.13333333333333333,0.7041666666666667,1.0,20,8,9,6.358495619928052,5.830634296787842,20
84,1.0,0.825,0.12222222222222222,0.7027777777777777,1.0,20,8,9,6.390101060455997,5.939665084459613,20
85,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.3803050828390875,5.816237652957075,20
86,1.0,0.8375,0.11666666666666667,0.7208333333333333,1.0,20,8,9,6.383881558841332,5.857061569305426,20
87,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.385056812673618,5.875961020525523,20
88,1.0,0.84375,0.10555555555555556,0.7381944444444445,1.0,20,8,9,6.41895211750074,5.830634296787842,20
89,1.0,0.8375,0.1111111111111111,0.726388888888889,1.0,20,8,9,6.351288006510348,5.854535628702722,20
90,1.0,0.83125,0.11666666666666667,0.7145833333333333,1.0,20,8,9,6.266526693272049,5.495923586684118,20
91,1.0,0.85,0.1,0.75,1.0,20,8,9,6.156425917690561,5.495923586684118,20
92,0.95,0.83125,0.10555555555555556,0.7256944444444445,1.0,20,8,9,5.803250328554485,5.453541019428979,20
93,1.0,0.84375,0.10555555555555556,0.7381944444444445,1.0,20,8,9,6.263628466662084,5.495923586684118,20
94,0.95,0.83125,0.1111111111111111,0.7201388888888889,1.0,20,8,9,6.0560796949837075,5.495923586684118,20
95,0.95,0.85,0.1111111111111111,0.7388888888888889,1.0,20,8,9,6.087035035982319,5.476406974673413,20
96,0.95,0.8375,0.11666666666666667,0.7208333333333333,1.0,20,8,9,5.956596214478748,5.495923586684118,20
97,0.95,0.8375,0.11666666666666667,0.7208333333333333,1.0,20,8,9,5.94257696214165,5.369161332857898,20
98,0.95,0.83125,0.10555555555555556,0.7256944444444445,1.0,20,8,9,5.971087717783677,5.495923586684118,20
99,0.95,0.8375,0.09444444444444444,0.7430555555555556,1.0,20,8,9,5.804070640766678,5.480679308901493,20
100,0.95,0.8375,0.12222222222222222,0.7152777777777778,1.0,20,8,9,6.08654791302065,5.495923586684118,20
101,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.530438823855091,5.965802754173349,20
102,1.0,0.84375,0.12222222222222222,0.7215277777777778,1.0,20,8,9,6.555760100017326,5.956990983372258,20
103,1.0,0.83125,0.09444444444444444,0.7368055555555556,1.0,20,8,9,6.491520053793589,6.0195863508039515,20
104,1.0,0.85,0.11666666666666667,0.7333333333333333,1.0,20,8,9,6.517334189147246,5.993212276860778,20
105,1.0,0.84375,0.10555555555555556,0.7381944444444445,1.0,20,8,9,6.594751867657545,6.148471998343567,20
106,1.0,0.84375,0.11666666666666667,0.7270833333333333,1.0,20,8,9,6.61064321290309,6.156585267081686,20
107,1.0,0.85,0.12222222222222222,0.7277777777777777,1.0,20,8,9,6.554917893106122,6.095494420863185,20
108,1.0,0.85625,0.12777777777777777,0.7284722222222222,1.0,20,8,9,6.595654520333019,6.124143801796759,20
109,1.0,0.8625,0.1111111111111111,0.7513888888888889,1.0,20,8,9,6.572010797080694,6.170837852532844,20
110,1.0,0.8625,0.11666666666666667,0.7458333333333333,1.0,20,8,9,6.587365137035837,6.183763350408329,20
111,1.0,0.86875,0.10555555555555556,0.7631944444444445,1.0,20,8,9,6.623436551415919,6.188712263230789,20
